name,longitude,latitude,countryCode,stateProvince,prov,year,key
Lycorma delicatula,127.5,37.39,KR,,gbif,2010,3350194480
Lycorma delicatula,117.12,39.07,CN,,gbif,2010,3347195567
Lycorma delicatula,127.15,36.44,KR,,gbif,2010,3347132522
Lycorma delicatula,127,36.13,KR,,gbif,2010,3350303702
Lycorma delicatula,127.9,37.45,KR,,gbif,2011,3350286459
Lycorma delicatula,136.26,36.12,JP,,gbif,2019,3969050470
Lycorma delicatula,136.66,36.57,JP,,gbif,2020,3969058628
Lycorma delicatula,128.47,36.32,KR,,gbif,2010,3350313624
Lycorma delicatula,121.23,31.37,CN,,gbif,2010,3347164472
Lycorma delicatula,128.31,36.39,KR,,gbif,2010,3350299748
Lycorma delicatula,136.41,36.36,JP,,gbif,2019,3969044536
Lycorma delicatula,116.24,39.54,CN,,gbif,2009,3347153572
Lycorma delicatula,121.02,29.03,CN,,gbif,2010,3347227583
Lycorma delicatula,117.26,31.86,CN,,gbif,2020,3969262684
Lycorma delicatula,127.03,37.35,KR,,gbif,2010,3347153483
Lycorma delicatula,136.37,36.35,JP,,gbif,2010,3350194586
Lycorma delicatula,126.16,37.47,KR,,gbif,2010,3350224644
Lycorma delicatula,-75.6728,40.4139,US,,gbif,2014,3348163253
Lycorma delicatula,134.23,34.73,JP,,gbif,2020,3969321277
Lycorma delicatula,126.59,37.16,KR,,gbif,2010,3347146536
Lycorma delicatula,121.47,29.47,CN,,gbif,2010,3347148453
Lycorma delicatula,136.66,36.57,JP,,gbif,2019,3968984279
Lycorma delicatula,128.47,36.32,KR,,gbif,2010,3350287749
Lycorma delicatula,127.22,36.22,KR,,gbif,2010,3350317503
Lycorma delicatula,121.47,29.47,CN,,gbif,2010,3350375564
Lycorma delicatula,127,36.13,KR,,gbif,2010,3347193515
Lycorma delicatula,127.9,37.45,KR,,gbif,2010,3350172653
Lycorma delicatula,134.23,34.73,JP,,gbif,2020,3969321278
Lycorma delicatula,117.26,31.86,CN,,gbif,2020,3969027976
Lycorma delicatula,126.43,35.25,KR,,gbif,2010,3350215520
Lycorma delicatula,136.66,36.57,JP,,gbif,2019,3968977951
Lycorma delicatula,116.24,39.54,CN,,gbif,2009,3350317596
Lycorma delicatula,126.44,35.4,KR,,gbif,2010,3347137322
Lycorma delicatula,117.12,39.07,CN,,gbif,2010,3350252862
Lycorma delicatula,-83.587,41.544,US,Ohio,gbif,2025,6177466812
Lycorma delicatula,-83.587,41.544,US,Ohio,gbif,2025,6177475487
Lycorma delicatula,-75.675,40.4152,US,Pennsylvania,gbif,2014,4998655312
Lycorma delicatula,-75.671,40.413,US,Pennsylvania,gbif,2017,4998706020
Lycorma delicatula,-77.6,43.2,US,New York,gbif,2023,4998682267
Lycorma delicatula,-75.675,40.4155,US,Pennsylvania,gbif,2014,4998638194
Lycorma delicatula,-77.6,43.2,US,New York,gbif,2023,4998705316
Lycorma delicatula,-74.207,41.513,US,New York,gbif,2025,6177450482
Lycorma delicatula,-83.587,41.544,US,Ohio,gbif,2025,6177481528
Lycorma delicatula,-75.6728,40.4139,US,,gbif,2014,3348087381
Lycorma delicatula,126.59,37.16,KR,,gbif,2010,3350222603
Lycorma delicatula,116.33,40,CN,Beijing,gbif,2023,4421845302
Lycorma delicatula,116.31,40,CN,Beijing,gbif,2024,4900444301
Lycorma delicatula,136.37,36.35,JP,,gbif,2010,3350185741
Lycorma delicatula,-75.172822,39.968375,US,Pennsylvania,gbif,2018,4977312149
Lycorma delicatula,-74,40.8,US,,gbif,2021,3466792887
Lycorma delicatula,-82.3,41.3,US,,gbif,2025,5871939942
Lycorma delicatula,-76.4,40.1,US,,gbif,2021,3466797901
Lycorma delicatula,116.2,40,CN,,gbif,2021,3386425493
Lycorma delicatula,116.344684,39.860835,CN,,gbif,2018,2432633812
Lycorma delicatula,-76.834902,40.258592,US,,gbif,2020,2855707706
Lycorma delicatula,-82.4,41.3,US,,gbif,2025,5858378646
Lycorma delicatula,-82.1,41.4,US,,gbif,2025,5858377122
Lycorma delicatula,-74,40.8,US,,gbif,2022,3909531891
Lycorma delicatula,-75.2,40,US,,gbif,2021,3466794660
Lycorma delicatula,-76.6,39.5,US,,gbif,2022,3926271327
Lycorma delicatula,-73.9,40.7,US,,gbif,2022,3950246389
Lycorma delicatula,127.156303,37.374262,KR,,gbif,2025,5839797710
Lycorma delicatula,-75.141816,40.032296,US,Pennsylvania,gbif,2022,4027126408
Lycorma delicatula,127.09178,37.393277,KR,Gyeonggi-do,gbif,2023,4429532467
Lycorma delicatula,127.091692,37.393274,KR,Gyeonggi-do,gbif,2023,4429532484
